	Area	Area_AG	Area_SH	Area_QF	Spcs_Tt	Spcs_AG	Spcs_SH	Spcs_QF	Spcs_UB	Hbt
R11	64	0	64	0	10	5	5	0	0	M
R111	1	0	1	0	7	3	4	0	0	M
R112	1	0	1	0	6	3	3	0	0	M
R113	1	0	1	0	6	4	2	0	0	M
R114	1	0	1	0	7	4	3	0	0	M
R12	64	0	64	0	14	9	4	1	0	M
R121	1	0	1	0	4	2	2	0	0	M
R122	1	0	1	0	7	4	2	1	0	M
R123	1	0	1	0	5	3	2	0	0	M
R124	1	0	1	0	7	4	3	0	0	M
R13	64	0	64	0	13	9	3	1	0	M
R131	1	0	1	0	3	0	3	0	0	M
R132	1	0	1	0	8	7	1	0	0	M
R133	1	0	1	0	3	1	2	0	0	M
R134	1	0	1	0	8	5	2	1	0	M
R14	64	0	64	0	13	6	5	1	1	M
R141	1	0	1	0	6	2	3	1	0	M
R142	1	0	1	0	6	2	3	0	1	M
R143	1	0	1	0	3	1	2	0	0	M
R144	1	0	1	0	6	5	1	0	0	M
R2	4096	0	4096	0	24	17	5	2	0	M
R21	64	0	64	0	14	9	4	1	0	M
R211	1	0	1	0	7	5	2	0	0	M
R212	1	0	1	0	9	6	2	1	0	M
R213	1	0	1	0	6	4	2	0	0	M
R214	1	0	1	0	4	3	1	0	0	M
R22	64	0	64	0	17	11	4	2	0	M
R221	1	0	1	0	7	4	1	2	0	M
R222	1	0	1	0	7	6	1	0	0	M
R223	1	0	1	0	6	4	2	0	0	M
R224	1	0	1	0	6	5	1	0	0	M
R23	64	0	64	0	7	3	3	1	0	M
R231	1	0	1	0	3	1	2	0	0	M
R232	1	0	1	0	4	2	2	0	0	M
R233	1	0	1	0	4	1	3	0	0	M
R234	1	0	1	0	4	2	1	1	0	M
R24	64	0	64	0	12	9	3	0	0	M
R241	1	0	1	0	5	4	1	0	0	M
R242	1	0	1	0	4	2	2	0	0	M
R243	1	0	1	0	6	4	2	0	0	M
R244	1	0	1	0	6	4	2	0	0	M
R3	4096	4096	0	0	45	22	13	7	3	A
R31	64	64	0	0	29	14	9	5	1	A
R311	1	1	0	0	13	7	3	3	0	A
R312	1	1	0	0	10	6	2	1	1	A
R313	1	1	0	0	11	5	4	2	0	A
R314	1	1	0	0	16	7	5	4	0	A
R32	64	64	0	0	27	19	3	3	2	A
R321	1	1	0	0	15	10	3	2	0	A
R322	1	1	0	0	14	9	3	1	1	A
R323	1	1	0	0	13	9	2	2	0	A
R324	1	1	0	0	12	8	2	1	1	A
